id,modelVersion,parent,groupId,artifactId,version,name,url,releaseDate,organization,dependenciesAmount,repositoriesAmount,mavenErrorMessage,
[inherited]:plexus-classworlds:bundle:2.6.0,4.0.0,org.codehaus.plexus:plexus:pom:5.1,null,plexus-classworlds,2.6.0,Plexus Classworlds,null,50961-07-30 12:06:40 UTC,,0,0,
[inherited]:plexus-interpolation:bundle:1.26,4.0.0,org.codehaus.plexus:plexus:pom:5.1,null,plexus-interpolation,1.26,Plexus Interpolation API,null,51454-12-14 10:53:20 UTC,,0,0,
org.apache.logging.log4j:log4j-api:jar:2.21.1,4.0.0,org.apache.logging.log4j:log4j:pom:2.21.1,org.apache.logging.log4j,log4j-api,2.21.1,Apache Log4j API,null,55772-02-19 03:46:40 UTC,,1,0,
[inherited]:byte-buddy:jar:[inherited],4.0.0,net.bytebuddy:byte-buddy-parent:pom:1.12.21,null,byte-buddy,null,Byte Buddy (without dependencies),null,54981-03-20 16:13:20 UTC,,4,0,
[inherited]:maven-invoker:jar:2.1.1,4.0.0,org.apache.maven.shared:maven-shared-components:pom:18,null,maven-invoker,2.1.1,Maven Invoker,null,44826-04-17 09:16:40 UTC,,3,0,
com.github.jnr:jnr-constants:jar:0.8.7,4.0.0,org.sonatype.oss:oss-parent:pom:7,com.github.jnr,jnr-constants,0.8.7,jnr-constants,http://github.com/jnr/jnr-constants,47309-03-02 00:33:20 UTC,,1,0,
org.slf4j:slf4j-log4j12:jar:[inherited],4.0.0,org.slf4j:slf4j-parent:pom:1.6.0,org.slf4j,slf4j-log4j12,null,SLF4J LOG4J-12 Binding,http://www.slf4j.org,42319-10-07 15:30:00 UTC,,2,0,
[inherited]:jetty-servlet:jar:[inherited],4.0.0,org.eclipse.jetty:jetty-project:pom:8.1.7.v20120910,null,jetty-servlet,null,Jetty :: Servlet Handling,null,44664-05-14 19:46:40 UTC,,3,0,
[inherited]:jetty-jsp:jar:[inherited],4.0.0,org.eclipse.jetty:jetty-project:pom:8.1.7.v20120910,null,jetty-jsp,null,Jetty :: JSP dependencies,null,44664-05-24 15:53:20 UTC,,7,0,
com.fasterxml.jackson.core:jackson-core:jar:2.15.2,4.0.0,com.fasterxml.jackson:jackson-base:pom:2.15.2,com.fasterxml.jackson.core,jackson-core,2.15.2,Jackson-core,https://github.com/FasterXML/jackson-core,55380-11-22 21:03:20 UTC,,0,1,
org.opentest4j:opentest4j:jar:1.2.0,4.0.0,,org.opentest4j,opentest4j,1.2.0,org.opentest4j:opentest4j,https://github.com/ota4j-team/opentest4j,51399-08-25 15:30:00 UTC,,0,0,
org.slf4j:integration:jar:[inherited],4.0.0,org.slf4j:slf4j-parent:pom:1.5.11,org.slf4j,integration,null,SLF4J Integration tests,http://www.slf4j.org,42122-10-05 10:40:00 UTC,,4,0,
org.checkerframework:checker-qual:jar:3.5.0,4.0.0,,org.checkerframework,checker-qual,3.5.0,Checker Qual,https://checkerframework.org,52470-05-15 02:40:00 UTC,,0,0,
